ID,Marca,Titulo,Categoria,Stock,Advertencia_Stock,Costo,SKU,Cambios,Moneda,Cod_barras,Descripcion,Body,Image_URLs
42149,SAMSUNG,SAMG313WT,Celulares > SAMSUNG,0,STOCK AGOTADO,78.0,SAMG313WT,price,U$S,00000000000000,"SAMSUNG - CELULAR Galaxy Ace 4 Lite G313ML - Pantalla: 4'' TFT MultiTáctil Capacitiva. Cámara: 3,15MP. DUALSIM. 3G. WIFI. BT. USB2.0. ANDROID. GPS. FM. Color: blanco.","<span style=""color: rgb(0, 0, 0);""><b><font size=""2"">CELULAR</font><br><font size=""4"">Galaxy Ace 4 Lite<br>G313ML</font></b><br><br><img src=""http://www.start-game.com/files/pcservice/Mails/Images/ICONS/icon_multi_touchscreen.png"" title="" Pantalla 4' Multi Táctil. "" align=""absmiddle"" height=""25""><br><br><img src=""http://www.start-game.com/files/pcservice/Mails/Images/ICONS/icon_dual_sim.png"" title="" DUAL SIM. "" align=""absmiddle"" height=""15"">&nbsp;<img src=""http://www.start-game.com/files/pcservice/Mails/Images/ICONS/icon_3G.png"" title="" 3G. "" align=""absmiddle"" height=""20"">&nbsp;<img src=""http://www.start-game.com/files/pcservice/Mails/Images/ICONS/icon_wifi.png"" title="" WiFi 802,11 b/g/n, WiFi Hotspot. "" align=""absmiddle"" height=""25"">&nbsp;<img src=""http://www.start-game.com/files/pcservice/Mails/Images/ICONS/icon_bluetooth.png"" title="" Bluetooth 4.0, A2DP. "" align=""absmiddle"" height=""25""><br><br><img src=""http://www.start-game.com/files/pcservice/Mails/Images/ICONS/icon_android_kitkat.png"" title="" Android 4.2.2 KitKat. "" align=""absmiddle"" height=""25"">&nbsp;<img src=""http://www.start-game.com/files/pcservice/Mails/Images/ICONS/icon_GPS.png"" title="" GPS. "" align=""absmiddle"" height=""25""><br><br><img src=""http://www.start-game.com/files/pcservice/Mails/Images/ICONS/icon_USB2.png"" title="" Micro USB 2.0. "" align=""absmiddle"" height=""20""><br><br><font color=""#ff3300""><b>Pantalla: 4"" TFT Multi Táctil Capacitiva, 480 x 800 píxeles.</b></font><br><b>DUAL SIM.</b><br><b>Bandas: 2G (850 Movistar / 900 / 1800 Ancel / 1900 Claro), 3G.</b><br><font color=""#ff3300""><b>Cámara: 3,15 MP, 2048 x 1536 píxeles, flash, geo-etiquetado.<br>Video: 480p@24fps.</b></font><br>GPRS: clase 12.<br><b>Memoria: 4 GB - 512 MB RAM (interna), soporta micro SD hasta 32 GB.</b><br><b>WLAN: WiFi 802,11 b/g/n, WiFi Hotspot.</b><br><b>Bluetooth: 4.0, A2DP.</b><br><b>USB: micro USB 2.0.</b><br><b>Sistema operativo: Android 4.4.2 KitKat.</b><br>CPU: 1,2 GHz.<br><b>GPS.</b><br>Sensor: acelerómetro.<br>Navegador: HTML5.<br>SMS, MMS, Email, IM.<br>Java.<br>Organizador.<br>Visor de documentos.<br>Editor de imágenes.<br>MP3 / MP4. Radio FM con RDS.<br>Peso: 118 g.<br>Dimensiones: 121 x 63 x 11 mm.<br><b>Batería: li-ion 1300 mAh.</b><br>Color: blanco.<br><br><b>Garantía: 1 año.<br>Contra defecto de fabricación.</b></span>","""https://www.pcservice.com.uy/contentimg/42149/1/d/SAMG313WT_ico.jpg, https://www.pcservice.com.uy/contentimg/42149/1/d/SAMG313WT_pic.jpg"""
45047,FINIS,10503701,Articulos Natacion > PATAS DE RANA,0,STOCK AGOTADO,33.0,10503701,price,U$S,00000000000000,"FINIS - PATAS DE RANA LONG FLOATING 1.05.037.01 - PARA ENTRENAMIENTO. XXXS (01), EURO 26 - 29.","<p><strong><span style=""font-size: 14pt;"">FINIS - PATAS DE RANA</span></strong><br /><strong><span style=""font-size: 14pt;"">LONG FLOATING<br />1.05.037.01</span></strong><br /><br /><span style=""color: #ff6600;"">PATAS DE RANA PARA ENTRENAMIENTO,&nbsp;ideales para&nbsp;el nado mariposa.</span><br />Ayudan a&nbsp;fortalecer los m&uacute;sculos de las piernas para mayor velocidad y resistencia.<br />Aletas largas e hidrodin&aacute;micas, a&ntilde;aden propulsi&oacute;n a las patadas y al nado de mariposa.<br />No se hunden ni en agua dulce o ni en salada, por lo que son ideales para el entrenamiento&nbsp;en aguas abiertas o en piscinas.<br /><br /><span style=""color: #ff6600;"">DISE&Ntilde;O DE ALETA LARGA HIDRODIN&Aacute;MICA FLOTANTE CON TAL&Oacute;N CERRADO.</span><br />La flotabilidad de las aletas levanta las piernas hacia la superficie, reduciendo la resistencia del resto del cuerpo.<br />El dise&ntilde;o de tal&oacute;n cerrado proporciona protecci&oacute;n contra la hiperflexi&oacute;n de los tobillos y aumenta la comodidad.<br /><br />Material:&nbsp;GOMA SUAVE FLOTANTE.<br />Color: AZUL - VERDE LIMA.<br />Tama&ntilde;o: XXXS&nbsp;(01), EURO 26 - 29.<br /><br /><a href=""https://www.finisswim.com/Floating-Fin?quantity=1&amp;custcol3=9"">Link del Fabricante.</a><br /><br />Garant&iacute;a: 1 a&ntilde;o.<br />Contra Defecto de Fabricaci&oacute;n.</p>","""https://www.pcservice.com.uy/contentimg/45047/1/d/10503701_01_ICO.jpg, https://www.pcservice.com.uy/contentimg/45047/1/d/10503701_01_PIC.jpg, https://www.pcservice.com.uy/contentimg/45047/1/d/10503701_01_POS.jpg, https://www.pcservice.com.uy/contentimg/45047/1/d/10503701_02_PIC.jpg, https://www.pcservice.com.uy/contentimg/45047/1/d/10503701_02_POS.jpg, https://www.pcservice.com.uy/contentimg/45047/1/d/10503701_03_PIC.jpg, https://www.pcservice.com.uy/contentimg/45047/1/d/10503701_03_POS.jpg, https://www.pcservice.com.uy/contentimg/45047/1/d/10503701_04_PIC.jpg, https://www.pcservice.com.uy/contentimg/45047/1/d/10503701_04_POS.jpg, https://www.pcservice.com.uy/contentimg/45047/1/d/10503701_05_PIC.jpg, https://www.pcservice.com.uy/contentimg/45047/1/d/10503701_05_POS.jpg, https://www.pcservice.com.uy/contentimg/45047/1/d/10503701_06_PIC.jpg, https://www.pcservice.com.uy/contentimg/45047/1/d/10503701_06_POS.jpg"""
49592,FUJI,Película Fotográfica Fujifilm Instantánea Pack 10x2 54x86mm,Fotografia - Accesorios > ACCESORIOS CAMARAS,201,,27.3,FUFIIM8TWIN,stock,U$S,00074101944686,FUJI FILM - CARTUCHO PELICULA FOTOGRAFICA INSTAX TWIN PACK 10 x 2.,"<p><span style=""color: #000000;""><span style=""font-size: 14pt;""><strong>PELICULA FOTOGRAFICA INSTANTANEA<br />TWIN PACK 10 x 2</strong></span><br /><br /><strong>Tama&ntilde;o Foto: </strong>54 mm x 86 mm.<br /><strong>Tama&ntilde;o Imagen: </strong>46 mm x 62 mm.<br />2 CARGAS DE 10 FOTOS C/U.<br /><strong>Tiempo de Revelado:</strong> m&aacute;ximo 5 minutos (entre 5&deg;C y 40&deg;C).<br />ISO: 800 y grano ultra fino.<br /><br />Garant&iacute;a: 1 a&ntilde;o.<br />Contra defecto de fabricaci&oacute;n.</span></p>","""https://www.pcservice.com.uy/contentimg/49592/1/d/INSTAX-ICO.jpg, https://www.pcservice.com.uy/contentimg/49592/1/d/INSTAX-PIC.jpg, https://www.pcservice.com.uy/contentimg/49592/1/d/INSTAX-POS.jpg"""
59269,PRITON,DLG2TD207W,Iluminacion LED > DRIVERS,0,STOCK AGOTADO,15.0,DLG2TD207W,price,U$S,00000000000000,ACTEC - DIMMER  TRIAC Dimming LED Driver  350MA/9W/DIM-26V,"<span style=""color: rgb(0, 0, 0);""><b>ACTEC - DIMMER<br>TRIAC Dimming LED Driver<br><br>Conductor de corriente constante<br>Adecuado para iluminación LED<br></b></span><span style=""color: rgb(0, 0, 0);"">Voltaje de entrada: 220-240 V<br></span><span style=""color: rgb(0, 0, 0);"">Voltaje de salida: 9-26 V<br></span><span style=""color: rgb(0, 0, 0);"">Potencia: 9   W<br></span><span style=""color: rgb(0, 0, 0);"">Corriente de salida: 350 mA<br></span><span style=""color: rgb(0, 0, 0);"">Temperatura ambiente: -20~50°C.<br>Dimensiones: 113 x 44 x 28 mm.<br>Protecciones: circuito abierto, cortocircuito, exceso de temperatura, sobrecarga.<br></span><span style=""color: rgb(0, 0, 0);""><br></span><span style=""color: rgb(0, 0, 0);""><b>Garantía: 1 año.<br>Contra defecto   de fabricación.</b></span><br><br><a href=""http://www.actec.com.cn/files/2016_071.pdf"">Desgargar DPF del artículo</a><br>","""https://www.pcservice.com.uy/contentimg/59269/1/d/DLG2TD207W_ico.jpg, https://www.pcservice.com.uy/contentimg/59269/1/d/DLG2TD207W_pic.jpg"""
63524,GENERICO,SEAWAGWTGN,Celulares Accesorios > ESTUCHES,0,STOCK AGOTADO,13.5,SEAWAGWTGN,price,U$S,00000000000000,"SEAWAG - FUNDA IMPERMEABLE PARA SMARTPHONE 5.7""  - A prueba de nieve, polvo, arena, agua. Color: blanco y verde.","<p><strong>SEAWAG&nbsp;</strong></p>  <p><strong>FUNDA IMPERMEABLE</strong><br><strong>PARA CELULAR 5.7""</strong></p>  <p>&nbsp;</p>  <p>Para smart phone de 5.7"".</p>  <p>Totalmente resistente al agua, lleva el tel&eacute;fono en cualquier lugar, incluso bajo el agua.</p>  <p>A prueba de nieve,&nbsp;polvo, arena. Protege el dispositivo de todos los elementos.</p>  <p>Mantenga llamadas telef&oacute;nicas donde dese&eacute;.</p>  <p>El forro le permite usar el tactil sin problema, utilizar todas las funciones y aplicaciones del tel&eacute;fono.</p>  <p>Increible fotos y videos bajo el agua.</p>  <p>IPX8 Probado a 25 metros.</p>  <p>Color: blanco y verde.</p>  <p><br><br><em>NO INCLUYE DISPOSITIVO. Imagen solo a modo de ejemplo.</em></p>  <p><br><br><strong>Garant&iacute;a: 1 a&ntilde;o.</strong><br><strong>Contra Defecto de Fabricaci&oacute;n.</strong></p>","""https://www.pcservice.com.uy/contentimg/63524/1/d/SEAWAGWTGN_ico.png, https://www.pcservice.com.uy/contentimg/63524/1/d/SEAWAGWTGN_pic1.png, https://www.pcservice.com.uy/contentimg/63524/1/d/SEAWAGWTGN_pic2.png, https://www.pcservice.com.uy/contentimg/63524/1/d/SEAWAGWTGN_pic3.png"""
64424,APPLE,Cable Lightning A Usb Apple 1m En Caja,Celulares Accesorios > IPHONE ACCESORIOS,0,STOCK AGOTADO,12.9,MD818ZM,stock,U$S,00000000000000,APPLE - CABLE LIGHTNING A USB MD818ZM/A - 1m. RETAIL.,"<p><strong><span style=""font-size: 14pt;"">APPLE - CABLE LIGHTNING A USB</span></strong><br /><strong><span style=""font-size: 14pt;"">MD818ZM/A</span></strong><br /><br /><span style=""color: #ff6600;"">CABLE CONECTOR LIGHTNING A USB.</span><span style=""color: #ff6600;""><br />Longitud: 1 m.</span><br />Compatibilidad: iPod, iPhone,&nbsp;iPad.<br />Color: BLANCO.<br /><br />Empaque Retail.<br />Garant&iacute;a: No Incluye Garantia.</p>","""https://www.pcservice.com.uy/contentimg/64424/1/d/MD818ZM_01_ICO.jpg, https://www.pcservice.com.uy/contentimg/64424/1/d/MD818ZM_01.jpg, https://www.pcservice.com.uy/contentimg/64424/1/d/MD818ZM_02.jpg, https://www.pcservice.com.uy/contentimg/64424/1/d/MD818ZM_03.jpg, https://www.pcservice.com.uy/contentimg/64424/1/d/MD818ZM-POS4.jpg"""
66743,KINGSTON,"Disco Sólido 2,5'' Kingston A400 480gb Sata III","Discos Duros - Solidos > SSD 2.5""  INTERNOS",14,,34.0,SA400S37480G,stock,U$S,00740617263442,"KINGSTON - DISCO SÓLIDO SSD A400 SA400S37/480G - 480GB. 2,5''. SATA III. 500MB/s (lectura) / 450MB/s (escritura).","<p><strong><span style=""font-size: 14pt;"">KINGSTON - DISCO S&Oacute;LIDO</span></strong><br /><strong><span style=""font-size: 14pt;"">A400</span></strong><br /><strong><span style=""font-size: 14pt;"">SA400S37/480G</span></strong><br /><br /><strong>DESEMPE&Ntilde;O MAS ALTO COMPARADO CON UN DISCO DURO MEC&Aacute;NICO.</strong><br /><strong>10&nbsp;VECES MAS R&Aacute;PIDO QUE UN DISCO DURO TRADICIONAL.</strong><br /><br /><span style=""color: #000000;""><span style=""color: #ff6600;"">CAPACIDAD: 480 GB.</span></span><br /><span style=""color: #000000;"">Tipo de Memoria: TLC.<br />Factor de Forma: 2.5''.<br />Interfaz: SATA III, 6,0 GB/s.<br />Velocidad: 500 MB/s (lectura) / 450 MB/s (escritura).<br />Peso: 41 g APROX.<br />Dimensiones: 100 x 70 x 7 mm APROX.</span><br /><br /><a href=""https://www.kingston.com/en/ssd/consumer/sa400s37"" target=""_blank"" rel=""noopener"">Link del Fabricante.</a><br /><br />Garant&iacute;a: 1 a&ntilde;o.<br />Contra Defecto de Fabricaci&oacute;n.</p>","""https://www.pcservice.com.uy/contentimg/66743/1/d/SA400S37480G_01_ICO.jpg, https://www.pcservice.com.uy/contentimg/66743/1/d/SA400S37480G_01_PIC.jpg, https://www.pcservice.com.uy/contentimg/66743/1/d/SA400S37480G_01_POS.jpg, https://www.pcservice.com.uy/contentimg/66743/1/d/SA400S37480G_02_PIC.jpg, https://www.pcservice.com.uy/contentimg/66743/1/d/SA400S37480G_02_POS.jpg, https://www.pcservice.com.uy/contentimg/66743/1/d/SA400S37480G_03_PIC.jpg, https://www.pcservice.com.uy/contentimg/66743/1/d/SA400S37480G_03_POS.jpg"""
67488,U.S. DIVERS,281019,Articulos buceo   > COMBOS,2,,45.81,281019,"pvp_ecommerce,stock",U$S,00053242323352,US DIVERS - KIT PARA AGUA MAGELLAN LX PURGE / TUCSON LX SC256111 - MÁSCARA DE 2 VENTANAS + TUBO RESPIRADOR. UNIVERSAL (ADULTO).,"<p><strong><span style=""font-size: 14pt;"">US DIVERS - KIT PARA AGUA</span></strong><br /><strong><span style=""font-size: 14pt;"">MAGELLAN LX PURGE / TUCSON LX<br />SC256111</span></strong><br /><img src=""http://www.start-game.com/files/pcservice/ICONS/USDIVERS/USDIVERS-SOFTPURGE.png"" alt="""" height=""100"" /><img src=""http://www.start-game.com/files/pcservice/ICONS/USDIVERS/USDIVERS-DRYTOP02.png"" alt="""" height=""100"" /><img src=""http://www.start-game.com/files/pcservice/ICONS/USDIVERS/USDIVERS-PURGE.png"" alt="""" height=""100"" /><br /><span style=""color: #ff6600;"">M&Aacute;SCARA DE&nbsp;2 VENTANAS + TUBO RESPIRADOR.</span><br /><br />M&Aacute;SCARA DE&nbsp;2 VENTANAS: C&oacute;moda y durable.<br />Silicona Hipoalerg&eacute;nica.<br />Tecnolog&iacute;a SOFT-PURGE:&nbsp;Mantiene la m&aacute;scara libre de agua.<br />Hebillas de ajuste f&aacute;cil con liberaci&oacute;n r&aacute;pida.<br />Sistema de hebilla de compresi&oacute;n de silicona para facilitar los ajustes.<br /><br />TUBO RESPIRADOR: Secci&oacute;n de flexi&oacute;n completa brinda un ajuste personalizado.<br />Tecnolog&iacute;a DRY-TOP: Dise&ntilde;ado para mantener el agua fuera del tubo de respiraci&oacute;n arriba y debajo de la superficie del agua.<br />V&aacute;lvula de purga de una v&iacute;a mantiene el tubo de respiraci&oacute;n libre.<span style=""color: #ff6600;""><br /></span><br />Color:&nbsp;AZUL -&nbsp;CELESTE - TRANSPARENTE.<br /><span style=""color: #ff6600;"">TAMA&Ntilde;O: UNIVERSAL (ADULTO).<br /></span><br />Garant&iacute;a: 1 a&ntilde;o.<br />Contra Defecto de Fabricaci&oacute;n.</p>","""https://www.pcservice.com.uy/contentimg/67488/1/d/281019_01_ICO.jpg, https://www.pcservice.com.uy/contentimg/67488/1/d/281019_01_PIC.jpg, https://www.pcservice.com.uy/contentimg/67488/1/d/281019_01_POS.jpg, https://www.pcservice.com.uy/contentimg/67488/1/d/281019_02_PIC.jpg, https://www.pcservice.com.uy/contentimg/67488/1/d/281019_02_POS.jpg, https://www.pcservice.com.uy/contentimg/67488/1/d/281019_03_PIC.jpg, https://www.pcservice.com.uy/contentimg/67488/1/d/281019_03_POS.jpg"""
68703,APPLE,Auriculares Apple Earpods Lightning Llamadas,Celulares Accesorios > IPHONE ACCESORIOS,147,,17.8,A1748B,stock,U$S,00000000000000,APPLE - AURICULARES LIGHTNING MMTN2ZM/A.,"<p><span style=""font-size: 14pt;""><strong>APPLE - AURICULARES LIGHTNING</strong></span><br /><span style=""font-size: 14pt;""><strong>MMTN2ZM/A</strong></span><br /><br /><span style=""color: #ff6600; font-size: 11pt;"">AURICULARES CON CONECTOR LIGHTNING.</span><br /><span style=""font-size: 11pt;"">Tonos graves m&aacute;s profundos y ricos.</span><br /><span style=""font-size: 11pt;"">Mayor protecci&oacute;n contra el sudor y el agua.</span><br /><span style=""font-size: 11pt;"">Control remoto incorporado y micr&oacute;fono para controlar la reproducci&oacute;n de m&uacute;sica y video, responder y finalizar llamadas.</span><br /><span style=""font-size: 11pt;"">Color: BLANCO.</span><br /><br /><span style=""font-size: 11pt;"">Empaque Bulk.</span></p>","""https://www.pcservice.com.uy/contentimg/68703/1/d/A1748B-ICOO.jpg, https://www.pcservice.com.uy/contentimg/68703/1/d/A1748B-PIIC.jpg, https://www.pcservice.com.uy/contentimg/68703/1/d/A1748B-POSS1.jpg, https://www.pcservice.com.uy/contentimg/68703/1/d/A1748B_02_PIC.jpg, https://www.pcservice.com.uy/contentimg/68703/1/d/A1748B_02_POS.jpg"""
69328,GENERICO,"Parlante Bt Hello Kitty Con Micrófono Manos Libres 3,5mm",Parlantes > PARLANTES PORTÁTILES,0,STOCK AGOTADO,15.8,55909,price,U$S,00000000000000,"PARLANTE PORTÁTIL HELLO KITTY OVAL - BLUETOOTH. MICRÓFONO. 3,5mm.","<p><strong><span style=""font-size: 14pt;"">PARLANTE PORT&Aacute;TIL</span></strong><br /><strong><span style=""font-size: 14pt;"">HELLO KITTY OVAL<br />55909</span></strong><br /><br /><strong>Dise&ntilde;o HELLO KITTY para los mas peque&ntilde;os.</strong><br /><span style=""color: #ff6600;"">DIVERTIDO PARLANTE PORT&Aacute;TIL HELLO KITTY CON GRAN CALIDAD DE SONIDO.<br /></span><span style=""color: #ff6600;"">Conectividad: BLUETOOTH 2.1 + EDR.</span><br />MICR&Oacute;FONO INTEGRADO PARA LLAMADAS&nbsp;MANOS LIBRES.<br />CONECTOR: 3,5 mm.<br />Compatibilidad: SMARTPHONE / TABLET / otros dispositivos BLUETOOTH.<br />Peso: 1 kg APROX.<br />Dimensiones: 343 x 190 x 152 mm APROX.<br />Puerto: USB para carga.<br />Color: NEGRO / ROSADO.<br /><br />Garant&iacute;a: 1 a&ntilde;o.<br />Contra Defecto de Fabricaci&oacute;n.</p>","""https://www.pcservice.com.uy/contentimg/69328/1/d/55909_01_ICO.jpg, https://www.pcservice.com.uy/contentimg/69328/1/d/55909_01_PIC.jpg, https://www.pcservice.com.uy/contentimg/69328/1/d/55909_01_POS.jpg, https://www.pcservice.com.uy/contentimg/69328/1/d/55909_02_PIC.jpg, https://www.pcservice.com.uy/contentimg/69328/1/d/55909_02_POS.jpg"""
